Rhodia,American racer,Coluber constrictor,4965673
Harmony,Greylag goose,Anser anser,23886520
Taber,Yellow baboon,Papio cynocephalus,3228968
Ethyl,Ornate rock dragon,Ctenophorus ornatus,2154787
Raynard,Ground monitor (unidentified),Varanus sp.,23030685
Marlo,Common waterbuck,Kobus defassa,28661995
Der,Little brown dove,Streptopelia senegalensis,15971158
Ginni,Southern black-backed gull,Larus dominicanus,1404877
Gaylord,Blue-breasted cordon bleu,Uraeginthus angolensis,25207845
Leona,Capybara,Hydrochoerus hydrochaeris,14081136
Jonas,Crested porcupine,Hystrix cristata,10851107
Hillary,North American beaver,Castor canadensis,1118468
Biddie,American bighorn sheep,Ovis canadensis,37274087
Wash,Curve-billed thrasher,Toxostoma curvirostre,22353228
Wildon,African wild dog,Lycaon pictus,29180568
Dasha,Sugar glider,Petaurus breviceps,16988073
Samuele,Black-faced kangaroo,Macropus fuliginosus,39575745
Reggis,Brolga crane,Grus rubicundus,19178635
Marcille,Cape clawless otter,Aonyx capensis,26069089
Elroy,Rufous tree pie,Dendrocitta vagabunda,3620633
Ivan,Tailless tenrec,Tenrec ecaudatus,35153585
Karee,Short-beaked echidna,Tachyglossus aculeatus,28188964
Reinaldo,Common brushtail possum,Trichosurus vulpecula,19983854
Arlana,Ring-necked pheasant,Phasianus colchicus,22672707
Arie,Swallow-tail gull,Creagrus furcatus,25870296
Colleen,Water moccasin,Agkistrodon piscivorus,12787681
Teddie,Gray rhea,Rhea americana,12422759
Chev,Bontebok,Damaliscus dorcas,19592797
Carling,Common langur,Semnopithecus entellus,28551993
Pat,Guanaco,Lama guanicoe,29012465
Juditha,Slender-billed cockatoo,Cacatua tenuirostris,35589006
Michaelina,Kirk's dik dik,Madoqua kirkii,26967167
Sharlene,North American beaver,Castor canadensis,21353743
Livvyy,Blue fox,Alopex lagopus,17502579
Ursula,Boat-billed heron,Cochlearius cochlearius,14163610
Maryjane,Brown pelican,Pelecanus occidentalis,463306
Mada,Squirrel glider,Petaurus norfolcensis,30848394
Ephrayim,Neotropic cormorant,Phalacrocorax brasilianus,10505499
Shelli,Gray langur,Semnopithecus entellus,23892458
Martynne,Carpet python,Morelia spilotes variegata,8044004
Merrili,Reindeer,Rangifer tarandus,37393662
Mala,Gecko (unidentified),unavailable,16969861
Jaime,Western bearded dragon,Amphibolurus barbatus,31881787
Alan,Smith's bush squirrel,Paraxerus cepapi,20237955
Friederike,Tasmanian devil,Sarcophilus harrisii,2527290
Freddy,Bengal vulture,Gyps bengalensis,29432605
Leontine,European badger,Meles meles,21966915
Tish,Eurasian badger,Meles meles,39443612
Nicholle,Ring-tailed lemur,Lemur catta,3091077
Orlando,African darter,Anhinga rufa,34080554
Ettie,Clark's nutcracker,Nucifraga columbiana,23902931
Chester,Crested porcupine,Hystrix cristata,13871880
Alida,Cougar,Felis concolor,20638605
Kipp,Jungle cat,Felis chaus,7009634
Ilysa,Ringtail,Bassariscus astutus,36176171
Zared,American bighorn sheep,Ovis canadensis,34749724
Larine,Cobra (unidentified),Naja sp.,16694592
Kile,Black and white colobus,Colobus guerza,30551142
Pavel,Groundhog,Marmota monax,6784145
